coo: 43.00417_-81.275146,E 00:00:00,E 01:00:00,E 02:00:00,E 03:00:00,E 04:00:00,E 05:00:00,E 06:00:00,E 07:00:00,E 08:00:00,E 09:00:00,E 10:00:00,E 11:00:00,E 12:00:00,E 13:00:00,E 14:00:00,E 15:00:00,E 16:00:00,E 17:00:00,E 18:00:00,E 19:00:00,E 20:00:00,E 21:00:00,E 22:00:00,E 23:00:00
1/1/2020,0,0,0,0,0,0,0,0,90.28,81.57,74.33,69.09,66.33,66.4,69.27,74.62,81.94,90.71,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,90.29,81.56,74.31,69.04,66.26,66.3,69.16,74.5,81.8,90.57,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,90.3,81.55,74.27,68.98,66.18,66.2,69.04,74.36,81.66,90.43,0,0,0,0,0,0
1/4/2020,0,0,0,0,0,0,0,0,90.3,81.53,74.23,68.91,66.09,66.09,68.91,74.22,81.52,90.28,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0,0,90.29,81.51,74.18,68.84,65.99,65.97,68.77,74.08,81.37,90.13,0,0,0,0,0,0
1/6/2020,0,0,0,0,0,0,0,0,90.27,81.47,74.13,68.76,65.89,65.84,68.63,73.93,81.22,89.98,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0,0,90.25,81.43,74.07,68.68,65.77,65.71,68.48,73.77,81.06,89.82,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0,0,90.22,81.39,74,68.58,65.65,65.57,68.33,73.61,80.89,89.65,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0,0,90.19,81.33,73.92,68.48,65.53,65.42,68.17,73.44,80.72,89.48,0,0,0,0,0,0
1/10/2020,0,0,0,0,0,0,0,0,90.15,81.27,73.84,68.37,65.39,65.27,68,73.27,80.55,89.31,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0,0,90.1,81.21,73.75,68.26,65.25,65.1,67.83,73.09,80.37,89.14,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0,0,90.04,81.13,73.65,68.13,65.11,64.94,67.65,72.9,80.18,88.96,0,0,0,0,0,0
1/13/2020,0,0,0,0,0,0,0,0,89.98,81.05,73.55,68,64.95,64.76,67.46,72.72,80,88.77,0,0,0,0,0,0
1/14/2020,0,0,0,0,0,0,0,0,89.92,80.96,73.44,67.87,64.79,64.58,67.27,72.52,79.81,88.58,0,0,0,0,0,0
1/15/2020,0,0,0,0,0,0,0,0,89.84,80.87,73.32,67.72,64.62,64.39,67.07,72.32,79.61,88.39,0,0,0,0,0,0
1/16/2020,0,0,0,0,0,0,0,0,89.76,80.77,73.19,67.57,64.44,64.2,66.87,72.12,79.41,88.2,0,0,0,0,0,0
1/17/2020,0,0,0,0,0,0,0,0,89.68,80.66,73.06,67.41,64.26,64,66.66,71.91,79.21,88,0,0,0,0,0,0
1/18/2020,0,0,0,0,0,0,0,0,89.58,80.55,72.92,67.25,64.07,63.79,66.45,71.7,79,87.8,0,0,0,0,0,0
1/19/2020,0,0,0,0,0,0,0,0,89.48,80.43,72.78,67.08,63.88,63.58,66.23,71.48,78.79,87.6,0,0,0,0,0,0
1/20/2020,0,0,0,0,0,0,0,0,89.38,80.3,72.63,66.9,63.67,63.36,66,71.25,78.57,87.39,0,0,0,0,0,0
1/21/2020,0,0,0,0,0,0,0,0,89.26,80.17,72.47,66.71,63.47,63.14,65.77,71.03,78.35,87.18,0,0,0,0,0,0
1/22/2020,0,0,0,0,0,0,0,0,89.14,80.03,72.3,66.52,63.25,62.91,65.54,70.8,78.13,86.97,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0,89.02,79.88,72.13,66.32,63.03,62.67,65.3,70.56,77.91,86.76,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0,0,88.89,79.73,71.95,66.12,62.8,62.43,65.05,70.32,77.68,86.54,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0,88.75,79.57,71.77,65.9,62.57,62.18,64.8,70.08,77.45,86.32,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,88.6,79.4,71.58,65.69,62.33,61.93,64.55,69.83,77.21,86.1,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0,88.45,79.23,71.38,65.46,62.08,61.67,64.29,69.58,76.97,85.88,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,88.3,79.05,71.17,65.23,61.83,61.41,64.03,69.33,76.73,85.65,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0,88.13,78.87,70.96,65,61.57,61.14,63.76,69.07,76.49,85.42,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0,87.96,78.68,70.75,64.76,61.31,60.86,63.49,68.81,76.25,85.19,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0,87.79,78.48,70.53,64.51,61.04,60.59,63.21,68.55,76,84.96,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,87.61,78.28,70.3,64.25,60.77,60.3,62.93,68.28,75.75,84.73,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,87.42,78.07,70.07,64,60.49,60.01,62.65,68.01,75.5,84.5,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,87.23,77.86,69.83,63.73,60.2,59.72,62.36,67.74,75.24,84.26,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0,87.03,77.64,69.58,63.46,59.91,59.42,62.07,67.46,74.99,84.02,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,86.83,77.41,69.33,63.19,59.62,59.12,61.77,67.19,74.73,83.78,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,0,86.62,77.18,69.08,62.91,59.32,58.81,61.47,66.91,74.47,83.54,0,0,0,0,0,0
